 VARIABLES =X,Y,D,E,U,V
 ZONE I=          59 , J=         425  F=POINT
   0.1060953995447801E+00   0.1011878031059163E-01   0.2370571536552024E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1061950415276123E+00   0.1012749785450070E-01   0.2370524979182874E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1062946842735227E+00   0.1013621546517045E-01   0.2370478433888461E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1063943278083765E+00   0.1014493314486381E-01   0.2370431901261238E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1064939721589140E+00   0.1015365089592024E-01   0.2370385381853209E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1065936173527829E+00   0.1016236872075861E-01   0.2370338876167887E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1066932634185677E+00   0.1017108662187974E-01   0.2370292384649184E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1067929103858217E+00   0.1017980460186920E-01   0.2370245907674874E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1068925582851006E+00   0.1018852266340029E-01   0.2370199445567104E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1069922071479947E+00   0.1019724080923677E-01   0.2370152998577739E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1070918570071655E+00   0.1020595904223617E-01   0.2370106566889111E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1071915078963821E+00   0.1021467736535290E-01   0.2370060150608350E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1072911598505569E+00   0.1022339578164140E-01   0.2370013749775804E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1073908129057863E+00   0.1023211429425969E-01   0.2369967364352415E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1074904670993908E+00   0.1024083290647290E-01   0.2369920994237415E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1075901224699553E+00   0.1024955162165677E-01   0.2369874639254885E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1076897790573721E+00   0.1025827044330142E-01   0.2369828299176563E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1077894369028866E+00   0.1026698937501536E-01   0.2369781973686447E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1078890960491407E+00   0.1027570842052926E-01   0.2369735662426108E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1079887565402235E+00   0.1028442758370044E-01   0.2369689364990124E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1080884184217164E+00   0.1029314686851673E-01   0.2369643080902848E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1081880817407476E+00   0.1030186627910132E-01   0.2369596809668004E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1082877465460419E+00   0.1031058581971710E-01   0.2369550550739355E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1083874128879754E+00   0.1031930549477138E-01   0.2369504303547844E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1084870808186313E+00   0.1032802530882085E-01   0.2369458067499164E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1085867503918599E+00   0.1033674526657682E-01   0.2369411841991527E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1086864216633341E+00   0.1034546537291003E-01   0.2369365626406936E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1087860946906155E+00   0.1035418563285647E-01   0.2369319420131937E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1088857695332165E+00   0.1036290605162278E-01   0.2369273222553383E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1089854462526665E+00   0.1037162663459210E-01   0.2369227033090115E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1090851249125797E+00   0.1038034738732997E-01   0.2369180851172174E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1091848055787280E+00   0.1038906831559066E-01   0.2369134676253529E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1092844883191102E+00   0.1039778942532330E-01   0.2369088507840528E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1093841732040319E+00   0.1040651072267883E-01   0.2369042345465004E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1094838603061807E+00   0.1041523221401660E-01   0.2368996188714536E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1095835497007080E+00   0.1042395390591151E-01   0.2368950037233479E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
   0.1096832414653123E+00   0.1043267580516128E-01   0.2368903890715315E+00   0.1763000000000000E+02   0.0000000000000000E+00   0.0000000000000000E+00
